
已知条件 	B常数 	3380 	单位 	k 	创建人：LXF  日期：2008-6-11
R值 	10
计算公式：Rt =R*EXP(B*(1/T1-1/T2)
说明：1、Rt 是热敏电阻在T1温度下的阻值；        
     2、R是热敏电阻在T2常温下的标称阻值；   
     3、B值是热敏电阻的重要参数； 
     4、EXP是e的n次方；                              
     5、这里T1和T2指的是K度即开尔文温度，K度=273.15(绝对温度)+摄氏度；

温度T1 	阻值Rt  	温度T1 	阻值Rt  	温度T1 	阻值Rt  	温度T1 	阻值Rt 
-40 	235.83075593 	2 	25.795966881 	44 	5.070437823 	86 	1.4580779678
-39 	221.67240981 	3 	24.673611964 	45 	4.9034011598 	87 	1.4204703156
-38 	208.47382602 	4 	23.607666567 	46 	4.7428627464 	88 	1.3840329328
-37 	196.16305694 	5 	22.594945784 	47 	4.5885344983 	89 	1.3487237721
-36 	184.67403487 	6 	21.632463086 	48 	4.4401425688 	90 	1.314502486
-35 	173.94605364 	7 	20.717416866 	49 	4.2974265762 	91 	1.2813303512
-34 	163.92329912 	8 	19.847177965 	50 	4.1601388769 	92 	1.2491701959
-33 	154.55442376 	9 	19.019278111 	51 	4.028043881 	93 	1.2179863314
-32 	145.79216068 	10 	18.231399185 	52 	3.9009174074 	94 	1.1877444861
-31 	137.59297352 	11 	17.481363273 	53 	3.7785460774 	95 	1.1584117439
-30 	129.91673843 	12 	16.767123414 	54 	3.6607267421 	96 	1.1299564843
-29 	122.72645506 	13 	16.086755023 	55 	3.5472659437 	97 	1.1023483265
-28 	115.9879839 	14 	15.438447903 	56 	3.4379794071 	98 	1.075558075
-27 	109.66980711 	15 	14.820498836 	57 	3.3326915609 	99 	1.0495576687
-26 	103.74281093 	16 	14.231304683 	58 	3.2312350849 	100 	1.0243201323
-25 	98.180087362 	17 	13.669355966 	59 	3.1334504839 	101 	0.99981952932
-24 	92.956753436 	18 	13.133230897 	60 	3.0391856852 	102 	0.97603091812
-23 	88.049786313 	19 	12.621589814 	61 	2.9482956581 	103 	0.95293030945
-22 	83.437872835 	20 	12.133170007 	62 	2.8606420555 	104 	0.93049462625
-21 	79.1012721 	    21 	11.666780884 	63 	2.7760928748 	105 	0.90870166515
-20 	75.021689902 	22 	11.221299475 	64 	2.6945221372 	106 	0.88753005982
-19 	71.182163924 	23 	10.795666238 	65 	2.6158095855 	107 	0.86695924602
-18 	67.566958717 	24 	10.388881138 	66 	2.539840398 	108 	0.84696942817

-17 	64.161469566 	25 	10 	            67 	2.4665049172 	109 	0.8275415475

-16 	60.952134444 	26 	9.628131096 	68 	2.3956983947 	110 	0.80865725166
-15 	57.926353332 	27 	9.2724319585 	69 	2.3273207488 	111 	0.79029886564
-14 	55.072414241 	28 	8.9321064055 	70 	2.261276335 	112 	0.77244936406
-13 	52.379425349 	29 	8.6064017588 	71 	2.19747373 	113 	0.75509234467
-12 	49.837252709 	30 	8.2946062436 	72 	2.1358255255 	114 	0.73821200302
-11 	47.436463044 	31 	7.9960465557 	73 	2.0762481341 	115 	0.72179310832
-10 	45.168271181 	32 	7.710085586 	74 	2.0186616054 	116 	0.70582098028
-9 	    43.024491729 	33 	7.4361202907 	75 	1.9629894509 	117 	0.69028146703
-8 	    40.997494622 	34 	7.1735796969 	76 	1.9091584793 	118 	0.67516092404
-7 	    39.080164223 	35 	6.9219230346 	77 	1.8570986391 	119 	0.66044619385
-6 	    37.26586165 	36 	6.6806379874 	78 	1.8067428702 	120 	0.64612458683
-5 	    35.54839008 	37 	6.4492390516 	79 	1.7580269629 	121 	0.63218386263
-4 	    33.921962772 	38 	6.2272659994 	80 	1.7108894244 	122 	0.61861221257
-3  	32.381173574 	39 	6.0142824362 	81 	1.6652713514 	123 	0.60539824268
-2 	    30.920969714 	40 	5.809874448 	82 	1.62111631 	124 	0.59253095752
-1 	    29.536626693 	41 	5.6136493318 	83 	1.5783702214 	125 	0.57999974472
0 	    28.223725086 	42 	5.4252344036 	84 	1.5369812533 	126 	0.56779436007
1 	    26.978129124 	43 	5.2442758792 	85 	1.4968997166 	127 	0.55590491342
  	  	  	  	  	  	  	
